release_year,avg_playtime,metacritic_score,number_of_achievements,multiplayer,price
2019,36.27,73.5,109,0,59.57
2018,81.04,71.8,60,0,67.69
2018,56.36,69.9,16,1,75.19
2006,1.0,70.8,48,1,47.7
2017,76.01,86.2,75,1,89.04
2018,24.66,74.7,147,1,78.23
2023,19.32,78.8,130,1,79.92
2011,50.48,70.6,42,0,51.59
2007,5.24,88.2,56,1,59.51
2019,26.09,56.0,49,1,61.55
2018,71.14,62.8,36,0,58.64
2015,51.12,78.8,45,1,73.65
2019,56.24,92.5,14,0,81.12
2017,26.86,72.7,79,1,70.59
2022,9.23,66.6,138,1,71.67
2010,54.14,85.0,147,1,78.48
2007,58.61,78.2,23,0,65.73
2023,57.7,87.9,124,1,97.67
2019,44.18,62.1,117,0,66.84
2009,20.66,87.1,79,0,64.49
2014,88.76,59.5,93,1,74.07
2011,49.6,72.1,64,0,68.64
2021,36.52,79.1,87,1,82.57
2011,36.61,76.9,87,0,70.68
2016,42.99,85.6,144,0,73.16
2021,61.39,56.7,125,1,67.95
2017,43.79,76.4,88,0,65.43
2024,57.17,87.0,60,0,77.46
2008,43.03,75.6,14,1,73.37
2014,37.75,63.6,93,0,62.98
2007,52.83,85.1,50,1,69.37
2013,52.07,68.5,26,0,63.81
2017,36.61,66.8,73,0,61.47
2022,25.02,65.5,60,0,71.27
2019,46.83,73.0,30,0,64.56
2008,41.57,76.8,11,0,49.91
2019,28.9,62.3,45,0,58.01
2006,23.15,64.4,31,0,46.34
2019,48.21,68.1,60,0,58.74
2012,51.0,65.5,45,0,61.15
2012,32.8,75.4,84,0,69.53
2021,28.4,78.6,79,0,64.7
2016,23.39,77.2,134,1,80.49
2023,47.65,77.3,3,1,75.29
2014,23.92,91.7,51,1,77.07
2013,84.82,79.2,111,0,73.64
2009,31.79,82.8,35,1,69.02
2010,1.0,70.9,53,1,62.59
2024,39.4,84.4,118,1,82.11
2006,38.54,70.4,126,0,64.54
2017,62.23,79.1,16,1,79.81
2010,45.76,61.3,74,1,67.39
2009,23.32,76.7,104,1,64.33
2005,34.27,65.2,149,0,49.64
2010,46.55,84.4,116,0,74.88
2010,1.0,83.8,42,0,52.34
2020,66.77,70.3,111,0,73.48
2008,23.38,95.0,114,1,82.2
2015,68.34,72.1,26,0,64.99
2013,47.85,58.9,36,0,60.67
2007,52.59,67.2,45,0,53.99
2023,62.99,64.6,112,0,65.34
2012,51.46,78.8,34,0,66.29
2009,53.46,62.6,131,1,68.08
2008,36.71,69.6,79,0,70.1
2010,47.44,78.1,79,0,59.41
2006,28.25,76.4,120,0,57.97
2024,33.13,74.9,146,0,71.25
2015,79.29,76.3,121,0,73.36
2008,23.84,71.3,80,1,62.71
2019,43.09,59.0,149,1,68.23
2010,42.27,71.0,118,1,72.1
2021,33.78,79.7,57,1,77.49
2010,50.29,73.6,62,0,68.19
2023,51.79,78.9,99,1,81.33
2006,21.48,69.1,65,1,69.15
2019,42.03,84.9,144,1,86.56
2015,18.35,49.4,84,0,56.03
2012,55.77,76.4,136,1,77.55
2023,43.53,88.5,143,1,86.42
2017,41.65,90.0,122,1,83.62
2016,53.18,72.7,1,0,56.23
2009,34.49,61.7,105,1,61.93
2010,58.28,88.7,107,1,81.28
2008,21.03,74.5,71,1,64.57
2023,68.24,73.4,125,0,84.24
2024,28.98,66.1,56,1,72.64
2005,6.08,62.5,80,0,36.69
2024,33.43,80.6,140,0,95.25
2021,31.16,81.7,18,0,65.77
2016,33.28,77.0,6,1,75.44
2019,44.63,67.4,136,0,60.85
2005,61.96,64.4,53,0,55.34
2018,36.17,60.7,103,1,65.34
2010,26.17,69.4,85,1,50.76
2009,17.47,64.9,81,0,50.93
2015,30.64,57.9,60,1,62.3
2008,2.24,81.5,86,1,64.7
2017,25.5,61.8,1,0,55.59
2015,64.88,84.8,30,0,70.3
2007,23.53,78.9,32,0,56.55
2005,52.57,77.9,79,0,61.66
2010,15.47,91.7,10,0,62.47
2022,75.42,62.1,127,1,79.48
2014,76.75,83.7,134,1,80.81
2009,51.82,72.0,127,0,66.31
2014,79.83,95.0,30,0,76.76
2016,47.12,71.2,125,0,65.89
2006,55.37,69.6,46,0,58.76
2017,65.24,79.3,106,0,75.37
2012,43.59,72.9,18,1,64.0
2006,8.95,67.4,80,1,64.1
2024,55.78,65.3,122,0,66.37
2005,30.56,89.6,133,1,68.87
2009,32.05,63.4,106,0,58.33
2013,45.96,77.2,48,1,81.06
2021,51.33,85.6,72,0,73.99
2013,43.0,86.0,49,0,70.39
2015,52.71,69.0,80,1,66.44
2019,25.86,72.9,94,0,61.6
2010,39.15,71.0,11,1,69.58
2007,56.98,59.6,22,0,52.9
2021,75.46,80.4,53,0,82.77
2009,82.53,75.4,117,0,74.55
2016,48.66,89.4,58,0,63.25
2022,56.8,66.8,2,1,67.62
2018,79.63,85.9,57,0,79.51
2015,26.58,86.6,56,1,67.6
2013,52.59,75.5,144,1,71.95
2006,55.37,53.3,89,1,65.34
2016,68.96,69.9,54,0,64.07
2007,17.26,92.9,44,1,74.37
2007,21.21,78.0,0,0,53.63
2005,40.43,81.9,20,0,54.63
2012,47.55,74.1,20,0,52.47
2012,62.46,72.8,51,0,65.07
2015,50.35,56.3,81,0,65.04
2013,36.97,82.9,66,1,71.46
2009,48.33,85.8,112,0,69.29
2018,46.02,65.5,43,0,54.6
2007,74.9,73.2,9,1,64.53
2009,43.31,71.9,63,0,60.48
2009,32.34,79.2,68,0,64.77
2023,48.99,69.6,67,0,72.66
2018,43.97,84.3,27,1,68.34
2008,8.58,75.7,115,0,55.01
2017,39.69,49.5,50,0,47.97
2014,37.99,79.4,3,0,61.22
2022,29.12,85.0,78,1,81.79
2012,60.71,63.5,16,1,70.58
2012,24.29,79.1,107,1,73.61
2011,49.11,93.3,73,0,79.56
2012,37.04,76.1,22,0,56.82
2018,42.15,86.4,17,0,63.7
2023,48.24,70.6,128,0,80.6
2010,13.85,74.8,34,0,57.35
2005,43.83,73.0,63,0,52.49
2019,85.78,71.1,58,0,74.72
2005,8.86,73.5,0,1,60.27
2021,38.85,58.7,130,0,65.07
2005,62.46,71.7,66,1,62.87
2019,46.03,88.4,36,0,71.89
2006,53.76,65.4,28,0,54.4
2018,1.0,64.3,88,0,58.11
2012,51.96,75.6,99,0,72.21
2012,24.77,76.1,121,0,62.04
2023,46.2,78.8,89,0,70.35
2011,39.41,73.9,131,1,85.08
2023,85.57,75.7,13,1,84.62
2010,50.93,71.5,149,0,69.01
2010,37.75,62.2,130,1,67.89
2007,9.81,74.3,84,1,63.35
2011,42.42,82.2,20,1,70.15
2023,56.46,80.2,25,1,68.18
2012,38.39,57.6,40,0,46.82
2014,29.89,77.5,121,0,68.14
2024,28.55,66.1,37,0,50.77
2019,50.7,88.9,87,0,77.97
2019,55.19,78.3,10,0,72.42
2005,67.22,84.0,28,0,67.63
2024,20.1,75.2,59,1,79.76
2011,50.52,74.3,60,1,75.34
2008,37.57,90.0,146,1,86.34
2010,38.16,84.7,21,1,76.62
2005,48.04,76.2,77,1,68.13
2009,48.15,73.0,112,0,61.85
2005,50.58,57.9,122,0,53.22
2008,18.85,78.2,141,0,60.02
2006,25.0,73.7,43,1,67.16
2014,69.72,80.5,143,0,77.94
2009,35.59,83.6,96,1,71.22
2014,46.12,87.3,76,0,78.2
2005,61.09,78.4,139,0,63.84
2010,49.27,64.5,54,1,59.63
2017,50.93,53.5,50,0,56.44
2019,57.89,66.8,101,0,64.19
2008,1.0,88.3,28,0,62.8
2017,30.2,93.2,68,0,69.92
2024,49.37,72.6,79,1,80.29
2019,67.75,60.4,30,0,67.76
2012,41.32,68.5,111,0,58.05
2009,23.11,86.4,45,0,64.16
2019,23.64,69.1,96,1,67.22
2008,57.68,80.9,51,0,65.27
2016,35.64,76.7,137,1,80.18
2017,39.86,82.1,73,1,78.07
2006,52.3,93.2,40,0,67.4
2023,1.0,80.9,76,1,79.02
2023,80.01,76.5,130,1,87.73
2008,25.38,94.3,113,0,73.45
2008,44.84,78.5,51,0,67.78
2015,5.91,67.1,86,1,60.09
2009,31.55,81.9,108,1,81.11
2024,64.89,79.5,140,0,80.15
2015,1.68,71.9,68,0,67.58
2014,62.52,69.8,119,1,73.99
2012,34.53,72.0,66,1,71.62
2010,49.74,69.7,60,1,70.81
2010,53.15,72.3,70,0,59.71
2012,48.83,66.6,29,1,66.02
2019,22.7,78.9,145,0,78.49
2018,32.71,78.1,95,0,67.5
2015,10.77,78.5,55,1,67.5
2016,49.84,74.4,52,1,68.3
2017,74.04,73.2,6,0,75.46
2012,3.51,89.4,96,0,63.23
2022,24.77,75.7,112,1,84.75
2005,36.36,87.6,124,0,62.47
2019,43.47,65.0,131,1,80.63
2012,57.58,80.9,120,1,82.72
2015,36.96,67.7,37,0,58.08
2016,33.68,69.4,121,1,68.95
2016,62.06,70.9,25,1,69.53
2008,53.24,70.3,128,1,66.58
2020,50.78,70.3,3,1,78.24
2008,42.25,87.2,38,1,73.03
2009,59.66,75.5,53,0,56.95
2009,26.87,77.3,32,0,56.2
2012,24.15,70.4,19,1,62.73
2014,54.92,83.6,15,0,57.28
2021,7.5,78.6,148,0,69.62
2013,41.84,71.9,126,1,76.55
2023,33.67,59.2,86,1,70.64
2018,11.88,77.2,81,0,66.09
2012,21.37,80.8,61,1,72.66
2013,37.82,65.2,30,1,62.47
2015,60.68,72.0,41,0,68.83
2005,26.94,80.4,11,1,70.06
2018,64.27,59.3,64,0,55.27
2009,41.26,68.5,72,0,55.52
2018,66.21,78.8,130,0,87.86
2008,27.91,86.1,114,0,66.16
2005,39.02,95.0,136,0,69.98
2023,47.37,94.6,105,1,90.76
2012,36.41,76.4,15,1,74.4
2019,59.06,70.2,77,0,64.29
2019,1.0,84.2,124,1,82.3
2013,88.45,69.6,130,0,69.57
2013,57.16,67.4,140,0,61.91
2014,36.53,71.9,129,1,71.95
2024,28.95,70.7,111,0,70.21
2013,22.67,79.1,126,0,63.18
2007,52.91,69.0,20,1,68.59
2024,59.9,75.9,146,0,75.7
2015,36.75,90.9,88,1,82.09
2010,62.14,76.2,46,0,66.42
2006,21.85,90.2,149,0,67.26
2011,18.32,87.0,84,0,69.12
2022,76.27,80.9,127,0,79.68
2006,51.82,71.5,71,0,60.97
2021,67.94,85.4,41,0,81.0
2015,22.92,72.5,8,1,70.93
2016,21.53,75.0,24,1,59.29
2023,32.83,78.3,1,0,71.07
2011,23.52,74.9,18,0,61.21
2024,54.11,67.8,19,0,66.11
2010,24.98,59.7,69,1,56.32
2005,16.57,84.6,16,1,60.07
2021,42.84,80.7,123,0,70.57
2015,14.2,57.8,88,1,64.76
2022,4.01,67.5,93,0,74.03
2021,42.67,76.8,83,0,68.96
2011,5.02,79.4,130,0,59.43
2021,55.51,59.8,86,0,65.41
2024,12.09,74.1,50,0,58.56
2013,1.0,80.4,81,0,57.32
2021,34.12,71.5,7,1,71.73
2024,42.89,77.6,120,0,71.94
2012,49.83,70.1,3,0,64.27
2021,43.44,84.1,85,0,69.14
2011,18.81,67.0,127,0,61.98
2005,54.26,63.6,109,0,62.72
2017,59.2,75.3,98,0,72.93
2023,15.88,60.7,36,0,58.23
2023,36.38,53.9,70,0,61.56
2021,34.51,85.8,32,0,70.29
2017,44.41,65.2,30,0,50.16
2020,35.9,61.7,124,1,67.52
2012,38.64,66.9,11,1,63.33
2023,52.84,66.4,10,0,61.34
2022,17.72,73.6,87,0,65.33
2005,54.75,64.1,71,0,56.19
2018,62.82,80.0,31,0,72.09
2023,72.68,81.5,56,0,84.13
2019,1.0,62.3,85,0,58.2
2022,36.34,68.8,18,0,66.13
2006,1.0,69.8,115,1,56.02
2021,1.0,73.3,13,0,53.62
2022,42.88,85.8,32,0,72.48
2010,32.02,86.4,9,0,58.82
2023,46.0,95.0,79,1,89.92
2008,49.72,52.3,63,1,51.83
2005,64.96,65.8,67,0,60.18
2012,41.08,93.1,91,1,77.23
2011,98.47,57.0,124,0,62.45
2007,46.13,92.9,79,1,76.82
2014,76.85,76.5,58,1,83.48
2014,1.0,76.8,96,0,69.36
2023,66.99,62.2,18,1,83.59
2018,36.38,70.5,148,0,62.09
2006,1.03,92.5,21,0,56.38
2005,48.41,74.5,8,0,52.11
2022,33.94,70.6,8,1,74.22
2011,51.6,79.1,26,0,64.92
2012,60.22,73.1,16,0,59.06
2005,10.22,78.5,44,1,57.65
2007,60.3,66.5,7,0,49.26
2012,40.13,74.2,145,0,52.71
2019,67.06,68.6,124,0,65.26
2009,35.9,57.0,122,0,57.5
2007,30.59,79.8,32,0,65.02
2023,40.54,62.7,0,0,68.55
2005,42.04,73.4,5,1,65.78
2019,26.74,84.3,40,1,72.28
2012,30.07,60.0,4,0,44.42
2006,15.46,81.0,79,0,48.54
2007,31.31,72.0,17,0,50.23
2018,53.53,65.3,81,1,73.58
2018,37.25,95.0,64,0,71.65
2015,60.18,75.0,82,0,70.78
2020,36.29,69.3,135,1,80.11
2008,11.37,67.2,130,0,51.83
2024,51.95,83.8,24,0,69.4
2009,26.53,68.9,68,1,69.92
2018,35.33,82.6,81,1,79.21
2020,64.75,75.0,116,0,84.71
2022,16.78,86.2,94,1,82.36
2011,43.29,64.6,32,0,55.99
2014,39.19,66.0,110,1,64.74
2011,54.02,72.2,145,0,64.13
2005,57.1,73.0,124,1,61.48
2023,45.28,71.5,15,1,68.95
2020,32.79,95.0,79,1,90.07
2023,49.47,95.0,37,1,87.76
2008,66.71,78.0,134,0,65.99
2022,39.45,79.2,77,0,69.25
2006,34.65,72.6,62,0,53.49
2005,47.76,64.5,111,1,68.63
2019,40.77,73.2,88,1,77.03
2009,13.25,82.7,37,0,52.49
2024,44.79,88.1,149,1,96.55
2015,13.06,85.0,143,1,86.21
2014,47.49,59.9,51,1,67.3
2006,24.06,72.1,28,1,64.32
2007,40.74,60.3,143,0,61.12
2016,47.81,86.7,75,0,64.78
2024,89.08,70.9,144,0,90.52
2009,54.85,74.5,63,0,67.34
2009,67.3,79.8,90,1,78.14
2010,77.43,95.0,88,1,84.89
2013,49.79,77.7,12,1,64.62
2006,45.71,72.6,71,1,63.86
2016,18.67,62.6,4,0,55.34
2007,37.67,89.6,11,0,57.07
2024,25.54,73.2,2,0,65.37
2016,31.98,91.6,32,0,65.06
2021,77.41,86.1,120,0,81.52
2014,42.29,70.4,49,0,54.42
2018,22.48,61.1,136,0,53.82
2021,67.49,77.7,28,0,74.89
2022,59.11,68.9,38,1,73.89
2023,60.15,75.4,90,0,73.19
2021,1.0,85.5,99,0,67.48
2018,78.97,58.5,16,0,75.89
2013,28.83,77.6,55,1,73.33
2012,55.56,82.6,45,0,71.06
2006,90.48,83.1,66,0,65.33
2017,83.11,61.4,141,1,80.32
2011,20.45,79.2,66,0,59.63
2013,11.11,87.0,22,1,66.77
2015,68.61,78.4,93,0,81.8
2018,42.84,73.8,53,0,69.26
2008,29.98,86.4,137,0,69.56
2017,52.42,68.1,76,1,68.43
2006,36.74,59.7,15,0,40.56
2009,54.03,73.0,40,0,59.51
2015,41.34,80.4,97,0,66.36
2010,54.45,85.4,127,0,74.28
2022,22.11,80.3,60,0,73.47
2014,68.49,83.4,85,1,81.73
2008,53.95,85.5,117,1,81.21
2013,52.93,71.6,99,0,66.06
2010,17.65,73.5,48,0,51.45
2006,73.99,87.9,1,1,72.89
2021,39.73,62.9,119,0,66.84
2009,54.56,79.3,122,0,71.77
2010,33.54,67.8,85,0,58.32
2016,45.22,86.0,76,1,77.53
2014,45.94,74.8,135,1,81.08
2010,1.0,75.1,58,1,64.49
2012,51.65,92.3,11,0,77.77
2006,79.31,64.2,3,0,55.4
2016,50.8,77.2,116,1,73.61
2017,20.85,73.2,94,0,69.91
2011,53.0,80.3,124,1,74.23
2014,61.19,94.3,40,1,85.0
2017,50.25,68.9,122,0,68.64
2021,38.52,63.0,6,1,68.62
2018,35.16,66.9,68,0,61.68
2006,35.07,72.7,68,1,55.54
2015,53.96,75.6,80,0,62.9
2005,11.86,76.1,29,0,56.91
2023,32.56,93.0,72,1,89.54
2008,71.91,91.2,5,1,86.61
2023,72.68,88.0,88,0,78.53
2015,10.44,95.0,146,0,74.21
2012,17.37,83.2,65,0,68.89
2015,34.59,86.1,9,0,63.85
2008,57.85,83.0,143,0,67.32
2021,3.45,81.4,36,0,64.36
2011,38.9,78.9,76,0,61.68
2012,30.52,71.0,76,0,62.15
2007,66.52,62.5,31,0,45.49
2006,6.46,73.7,46,0,59.13
2019,41.85,80.7,109,0,68.46
2009,32.13,75.7,119,1,59.24
2005,69.4,64.3,9,0,52.98
2008,51.95,73.3,96,1,67.78
2019,28.28,72.8,4,1,69.16
2024,57.07,74.4,76,1,84.31
2023,32.22,79.9,0,1,80.41
2007,59.99,82.1,130,1,84.56
2024,35.26,70.0,66,0,65.34
2015,61.09,84.8,14,0,74.14
2021,48.72,86.3,92,1,89.41
2017,105.21,78.2,29,0,62.73
2015,38.94,81.6,102,1,73.6
2006,47.66,84.8,81,0,57.98
2013,30.41,64.0,74,1,66.91
2006,40.05,85.5,59,0,64.22
2013,1.0,67.1,39,0,53.84
2013,49.31,68.1,73,0,59.96
2012,66.86,77.0,120,1,77.09
2021,47.93,53.6,146,1,71.93
2005,13.72,76.8,2,0,48.53
2015,23.96,84.8,35,1,77.64
2012,1.0,58.5,42,0,41.77
2014,59.58,85.9,142,0,72.27
2011,19.87,68.0,114,0,58.09
2007,39.43,77.1,108,0,59.61
2007,36.93,69.5,89,0,50.78
2022,69.75,80.7,83,0,81.24
2009,41.71,85.2,76,1,71.02
2016,56.18,81.5,4,1,71.94
2016,50.93,75.0,77,0,66.9
2023,67.19,70.2,90,0,69.63
2010,35.22,74.3,86,0,60.57
2006,77.39,81.6,13,0,62.04
2016,1.0,81.9,103,0,62.49
2023,57.15,80.5,82,0,74.79
2009,22.67,62.2,53,1,63.32
2016,30.15,74.8,131,1,77.1
2021,51.39,68.7,94,0,61.0
2021,51.23,81.6,8,0,76.12
2014,52.13,67.4,52,0,63.88
2021,12.28,79.5,76,1,78.49
2019,68.98,72.2,59,0,75.03
2016,21.99,56.2,45,0,52.53
2020,24.65,84.3,53,1,81.6
2023,52.76,74.7,73,0,71.01
2012,34.27,87.8,111,0,74.41
2021,46.17,58.3,94,0,64.69
2009,1.0,72.1,22,0,43.61
2020,45.69,72.8,26,0,71.75
2010,44.36,77.7,69,0,62.31
2012,29.8,61.7,108,0,55.0
2022,1.0,80.4,76,0,65.56
2016,35.74,94.1,49,1,79.82
2019,39.25,79.7,123,0,74.26
2013,32.66,75.9,18,0,55.22
2017,3.28,61.2,0,1,50.86
2019,71.89,67.3,39,1,70.24
2014,27.22,74.4,21,1,69.46
2020,35.56,69.7,111,0,66.92
2011,1.0,85.3,39,0,65.1
2021,71.9,80.3,37,1,83.28
2011,30.67,95.0,47,1,81.46
2018,41.97,65.2,74,0,59.53
2019,62.41,75.3,106,1,79.35
2011,26.47,61.2,7,0,49.75
2013,59.26,52.8,85,1,63.19
2023,1.0,82.2,67,1,75.81
2020,51.02,80.0,74,1,76.98
2012,71.44,66.5,136,1,66.42
2022,28.39,75.9,89,1,81.43
2022,62.38,68.7,129,0,76.36
2024,76.68,70.1,79,0,72.61
2011,34.9,71.8,94,0,62.53
2007,33.25,66.0,69,0,52.22
2022,22.03,67.8,89,1,78.8
2014,29.81,68.1,58,0,52.07
2011,23.69,79.2,146,0,64.63
2021,22.02,47.3,27,0,50.05
2018,63.98,72.7,71,1,78.71
2007,24.2,64.1,13,0,55.63
2016,45.17,64.5,23,0,58.35
2017,40.76,69.7,111,0,69.85
2006,69.96,74.9,43,1,68.13
2007,29.94,72.9,55,0,60.62
2009,47.62,64.4,119,1,70.24
2015,55.82,82.2,31,0,67.37
2012,69.79,66.0,24,0,58.23
2016,29.64,67.7,115,1,73.26
2011,27.64,77.8,65,0,57.84
2019,18.76,78.2,41,0,66.12
2021,84.73,68.9,75,0,71.92
2008,67.69,45.6,136,0,54.01
2017,39.16,66.1,37,0,59.59
2022,78.63,76.6,60,0,73.24
2005,37.96,81.9,88,0,66.56
2020,54.49,74.2,17,0,69.32
2017,40.2,70.2,69,1,71.92
2014,47.96,95.0,81,1,86.04
2016,45.84,71.3,115,0,58.71
2006,31.5,81.1,79,0,70.49
2007,61.85,61.6,14,0,52.53
2014,54.32,64.1,12,0,48.18
2006,60.55,81.5,118,0,72.51
2017,46.4,85.4,42,0,67.63
2017,21.87,71.1,56,0,66.45
2022,74.19,56.5,16,0,64.39
2007,34.75,73.3,31,0,47.17
2011,47.28,76.9,149,1,77.1
2018,52.71,76.0,54,0,69.94
2024,47.15,69.4,12,1,81.31
2021,58.31,73.5,46,1,81.19
2016,61.47,67.5,86,0,59.87
2020,35.5,63.9,61,0,67.33
2016,72.51,82.6,28,0,70.28
2019,34.66,76.0,21,0,74.04
2014,46.73,73.5,64,0,62.38
2011,32.25,69.9,28,1,62.94
2024,26.53,73.2,47,0,64.02
2009,60.88,76.6,4,0,58.34
2005,102.44,92.3,100,1,80.69
2021,32.76,81.5,70,1,85.87
2007,64.31,68.3,140,0,55.76
2017,33.48,68.4,137,1,77.72
2018,39.79,66.9,65,0,67.2
2022,75.15,73.0,71,0,81.81
2008,18.53,66.9,24,0,50.04
2022,13.24,79.7,59,0,63.28
2009,38.26,48.6,39,1,52.31
2020,53.27,80.4,6,0,73.44
2005,49.27,77.8,45,0,58.94
2018,47.21,87.6,85,0,77.38
2019,40.68,83.8,140,0,83.01
2013,55.73,68.2,20,0,62.75
2019,1.0,82.6,0,0,63.66
2021,24.98,73.3,122,1,68.09
2008,38.13,55.7,146,0,49.33
2016,54.09,76.6,124,0,69.38
2009,69.8,68.8,32,0,49.76
2009,22.3,75.0,3,0,48.65
2015,69.14,91.5,2,0,72.89
2010,30.95,77.2,90,1,69.24
2011,37.4,64.8,51,1,65.9
2018,51.63,84.6,27,0,70.79
2015,35.94,78.6,69,0,67.39
2017,62.2,63.6,56,1,69.47
2006,31.91,58.9,107,0,50.62
2011,32.21,65.2,143,0,61.65
2024,61.04,83.4,23,0,84.55
2008,24.74,72.0,76,1,61.33
2012,44.98,75.8,75,0,64.72
2024,6.79,61.6,68,1,72.77
2023,76.39,83.6,100,1,83.48
2017,64.13,54.8,91,0,71.18
2018,95.0,68.4,91,1,87.32
2014,66.77,79.2,29,1,67.7
2015,17.41,63.8,17,0,55.2
2006,53.37,81.1,43,0,58.7
2013,21.64,66.3,98,0,55.71
2021,71.56,62.7,120,0,72.66
2007,17.98,87.9,114,0,69.18
2010,17.02,76.5,59,0,55.44
2009,7.8,80.2,145,0,59.45
2009,30.23,85.2,55,1,72.94
2019,26.21,48.8,30,0,53.89
2021,14.77,81.3,100,0,65.65
2013,79.8,67.4,58,0,73.58
2007,50.6,68.7,123,0,56.48
2024,48.24,79.4,129,0,83.4
2021,71.78,71.4,96,0,76.31
2014,45.13,80.9,106,0,72.77
2007,25.03,74.6,17,1,58.38
2022,6.0,76.7,144,1,69.42
2022,23.9,70.1,70,0,65.63
2021,70.11,64.4,105,1,78.66
2007,14.89,67.6,53,1,53.49
2007,47.06,74.0,93,0,64.88
2010,60.68,93.4,75,1,81.28
2017,45.71,89.7,34,1,76.97
2019,47.98,68.5,10,0,66.06
2013,53.11,75.6,60,0,68.23
2008,47.59,72.1,43,0,54.17
2018,72.18,76.3,120,0,81.55
2009,19.19,77.6,67,1,77.44
2006,44.81,80.3,24,0,53.41
2015,3.64,46.0,83,1,52.77
2013,1.0,78.7,113,1,71.22
2007,38.37,71.0,131,1,78.81
2013,50.87,68.0,0,1,62.34
2007,72.61,82.9,130,0,65.77
2006,88.4,89.7,85,0,68.41
2016,66.4,81.9,61,1,86.86
2014,54.54,69.8,63,0,59.9
2013,43.2,64.2,144,0,57.95
2019,9.38,44.9,125,1,60.48
2012,37.08,76.8,104,1,74.32
2009,65.81,80.8,61,0,71.87
2015,57.97,74.0,34,1,73.85
2006,14.27,84.3,12,1,64.95
2019,52.28,61.8,42,0,61.51
2010,50.57,73.3,129,0,58.16
2012,47.0,72.5,110,1,71.4
2009,39.44,73.9,127,0,62.73
2020,53.31,86.7,50,0,73.62
2022,53.95,74.0,143,0,68.0
2010,27.17,72.1,145,1,63.68
2009,49.1,65.6,134,0,59.88
2020,36.21,88.3,44,0,78.44
2017,10.26,60.7,41,0,61.94
2009,28.77,69.5,134,1,66.03
2017,8.73,91.9,14,0,63.99
2021,59.6,79.7,59,0,72.67
2022,47.12,74.8,39,1,72.78
2012,32.89,75.2,111,0,67.63
2017,68.41,65.5,76,1,85.12
2023,41.36,74.3,104,1,77.5
2007,11.38,71.5,106,1,56.4
2012,31.21,76.8,121,0,69.76
2006,72.66,59.9,79,1,65.21
2012,26.61,79.0,124,1,74.96
2017,45.5,85.2,133,1,91.6
2017,54.88,73.0,31,0,59.03
2005,51.8,81.5,107,1,64.88
2010,88.99,78.1,113,0,71.24
2023,16.47,68.9,145,0,68.9
2020,18.47,64.4,67,0,58.55
2012,16.8,65.8,126,1,77.63
2005,34.08,77.9,134,0,59.23
2020,61.99,74.4,113,0,71.41
2013,19.37,87.8,7,1,72.15
2017,62.27,82.9,63,0,78.4
2015,40.7,82.9,134,1,76.62
2017,17.82,77.6,40,0,62.35
2014,4.97,65.4,39,0,57.58
2008,9.45,78.3,2,1,66.32
2010,26.68,75.6,144,1,72.11
2011,36.62,63.6,109,0,69.64
2009,66.92,87.1,113,1,90.34
2015,55.98,86.0,111,0,67.93
2017,23.22,63.6,149,0,53.85
2023,48.17,68.6,3,0,70.07
2014,73.03,69.5,133,0,76.38
2014,77.48,81.1,25,0,69.5
2015,33.71,79.9,138,0,67.42
2011,59.17,75.4,16,0,58.1
2022,67.8,77.7,91,0,71.35
2008,9.86,62.1,30,0,52.12
2006,29.75,78.8,143,0,59.91
2018,84.4,74.0,106,1,84.86
2017,33.98,68.2,145,1,64.92
2016,1.0,59.7,110,0,59.3
2011,37.58,75.3,100,1,74.01
2006,62.49,78.6,111,1,66.29
2017,40.13,58.0,61,0,58.95
2018,54.31,75.2,111,0,71.71
2021,58.76,76.2,115,1,81.23
2013,32.9,69.5,34,0,43.25
2021,29.61,78.8,27,1,72.69
2012,43.07,73.7,102,1,73.51
2006,43.56,77.8,124,1,67.71
2017,41.08,80.3,101,1,77.87
2007,41.9,80.3,136,0,72.34
2020,25.03,85.2,142,0,75.05
2010,55.01,78.4,20,1,59.96
2023,51.98,70.2,51,0,68.94
2011,13.28,68.5,96,1,64.35
2014,32.22,64.4,50,1,60.59
2013,41.86,76.5,82,1,76.71
2006,29.31,88.2,54,0,54.69
2019,52.75,71.4,76,0,67.93
2009,38.66,79.5,126,0,57.68
2008,43.38,67.5,92,0,55.77
2024,31.99,76.9,87,1,84.36
2008,1.0,87.6,79,1,67.49
2022,1.0,81.9,91,1,76.13
2008,51.79,59.3,46,0,52.25
2021,45.34,80.7,37,0,72.19
2016,48.77,81.2,138,1,85.07
2021,42.69,76.7,14,0,71.77
2014,44.29,81.7,0,0,71.79
2005,59.38,66.7,134,1,67.78
2022,48.89,75.6,0,1,68.45
2022,60.82,86.1,48,0,82.46
2018,43.43,85.2,95,1,89.01
2019,33.99,80.5,25,0,80.1
2016,43.88,66.2,86,1,78.03
2008,23.28,64.6,92,0,50.34
2007,32.4,76.1,101,0,60.52
2024,43.55,76.8,70,1,80.28
2016,43.29,74.0,139,0,67.21
2011,37.87,67.0,94,1,66.09
2015,12.24,79.4,117,1,79.8
2005,52.73,76.1,147,1,63.36
2010,56.68,77.9,118,1,70.34
2019,72.87,80.9,50,0,81.2
2019,48.84,72.3,80,1,83.93
2023,40.03,70.1,35,0,63.91
2015,19.74,86.1,66,0,75.55
2006,69.84,67.4,128,1,74.27
2018,44.96,70.3,113,0,66.61
2006,43.87,87.3,110,0,54.38
